CustomerID,FirstName,LastName,Email,PhoneNumber,Gender,BirthDate,City,State,Country,ZipCode,SignupDate,RowHash,OrderID
1,Jerome,Griffin,marie80@yahoo.com,+1-986-941-1151x09549,Female,1972-07-21,Berlin,Berlin,Germany,10115,2022-10-25,06301d3461e6553075317f3f73b0190010ebbf12998d3efee15911708554f625,O00405
2,Crystal,Pitts,lisashort@hotmail.com,5929818847,Female,1960-10-09,Madrid,Madrid,Spain,28001,2024-09-09,130e51992164b0b510db618cb5370b2af3b654a473a23830fcebda8d8882a495,O01794
3,Shannon,Smith,donnareyes@yahoo.com,(718)685-4312,Female,1962-10-16,Milan,Lombardy,Italy,20121,2024-09-19,8389913c4392ab5e60b6d00822e1e79a371ac356ec703394950c5dd7811368e0,O00650
4,Mary,Johnson,deborah02@hotmail.com,761-766-6759,Female,2000-07-03,Stockholm,Stockholm County,Sweden,11120,2025-01-30,748bb6e7d25663773a97ed38517cf1e71d5c190cc023d719e613d5f25cf9dc91,O00720
5,Courtney,Kelly,mcclurenathaniel@davenport.com,001-760-475-8722x514,Male,1972-07-06,Milan,Lombardy,Italy,20121,2023-08-23,070960eab0dd866dcea76c1def9f87648ddb479567a2b7ab656b9b7dc2a66e23,O02937
6,Ronald,Yoder,christophermcknight@gmail.com,169-392-1947x96860,Female,1955-02-11,Madrid,Madrid,Spain,28001,2023-03-17,a118b45d2b37869b3774b8cc1e18f2e6803e62a90e46fd48013609688c3e8e09,O02678
7,Robin,Thomas,xcrawford@rhodes-brown.biz,415.048.0291x1929,Female,1987-09-22,Milan,Lombardy,Italy,20121,2023-09-04,7595f277b13f0faa8cae7edf206bc8ebb933d8e767896ad160476126d5b8f4cd,O02111
8,James,Jimenez,melindamiranda@yahoo.com,963.046.4764,Male,1983-07-04,Helsinki,Uusimaa,Finland,100,2023-04-12,0cd21eb40c2823b13bb3358be656b66d5b0c8341982f1b660f8c2db14c1b5e97,O02228
9,Donald,Smith,zpowell@wallace.com,001-438-677-8670x8924,Male,1974-01-07,Amsterdam,North Holland,Netherlands,1011,2024-01-13,fdb7bc1fa0aaf95d3f08639a878e3333cec3fc1e97a9504562d4860e8def2ff9,O00173
10,Matthew,Waters,glennbrown@yahoo.com,001-552-267-5941,Male,1987-11-30,Paris,Île-de-France,France,75001,2022-08-13,c5cc3d2527c831136370430b1f833142ea8091fca8d19f54884120a05d135517,O03799
11,Cassandra,Boyd,stacy77@howard.com,+1-272-331-9478x59814,Male,2004-02-29,Stockholm,Stockholm County,Sweden,11120,2025-02-02,3ce4453575592fe150de5438e06df1c7682c05a42b990c47ac71c92fb9c6caed,O02226
