EmployeeID,FirstName,LastName,Email,Phone,HireDate,StoreID,RowHash
733c0177-3b40-4acd-844a-2c67a81ee700,Robin,Lynch,babbott@smith-sanchez.com,001-193-252-8267,2024-03-26,1581,91f27bb929cedc8808492eb596885004
9d592d04-8b7c-4a48-95b5-d62e8c77b3ae,Cristian,James,maguilar@bradley.com,296-444-8436x86811,2020-09-03,3642,8d3d40d9810460aa2e1dbba449718721
eea4bb85-8fa0-4965-90f8-427e3d6dc2ce,Kyle,Maddox,simmonsandrew@stone.com,559-062-7879x02591,2023-04-14,77,4983390da9900da3826a43ad70b74b76
bccf218b-7ed8-4d47-a383-7865a53dadb4,Edwin,Reeves,dmckay@gmail.com,626-603-2358,2021-08-15,1815,bb8d2b26a14452a0b5d7f61d2094c172
39219823-01ae-47b2-a7d3-780fdf7583f2,Charles,Hogan,melvin99@bean.info,001-395-795-5192,2021-06-10,163,bb3d94e5e5e6aff7e179ce96768ad694
21841375-fac0-4407-a211-dcc7084e195f,Jennifer,Adams,brownemma@richmond-bryant.com,001-862-567-6112x584,2023-06-19,2304,03acaeed62a2a72c61023a85267f8eab
29443b55-835d-4dfe-9d1d-cb2d2e709813,Melissa,Harris,danielsmichael@johnson.com,001-248-287-3210,2024-02-19,2932,ba04db9f81104026d8beee7772b8d5f9
b6d9495d-7d94-469c-8cb3-d2e6d756a975,Thomas,Moran,jacksonscott@simmons.net,(220)720-1970x842,2022-09-04,1569,1d3e96a85e7a9d00ba7061f369f69500
410cbfcb-f4bd-4855-b890-61d22b173275,Theodore,Gallegos,kmaldonado@austin-jordan.com,+1-651-295-5510x0510,2022-07-17,738,e1742b99d912c77268aee082f871bd30
4eaacd81-c6c5-4057-8275-f74083f38a58,Danny,Torres,davidwiley@gmail.com,001-003-607-2235x028,2021-05-04,2484,6f3ceee5c65a1c7bb3422c3b1b5563ee
aaedeffd-c4de-41fc-8a78-277ec0653489,Aaron,Strong,nataliebowman@gmail.com,539.169.2809x166,2021-04-19,1812,98457a36dab9e8a034005f13a4b79bff
ec82cd72-3a05-4f22-9efc-e2e73f30175e,David,Larsen,ehuff@hotmail.com,+1-403-304-5441x06166,2021-06-24,1920,ab939e97f899882d4385d140ffcb3747
14154254-fab1-48f9-8a4c-418fdb052a88,Betty,Smith,kristina58@gmail.com,517-642-9628,2020-05-16,4046,7915e3d5f8b7e736ef25f04525b727f4
cc9d8f50-8ad0-4c5f-8a77-087a21c3a850,Brenda,Phillips,adam09@gilbert-good.biz,315-255-2322,2023-03-03,2974,6cb72dd534a9e5f751c73dcadd77f4fb
ff62afcb-2800-4d6c-b6e6-5cd6d68a3ce7,Laura,Tran,wesley83@wong-fields.com,(404)762-5395x011,2020-11-06,302,aad29bf512f9376ef484a3a809d61ee5
b39ebc43-0c6f-411a-bcad-74c5758ba4ce,Robin,Parsons,william62@yahoo.com,888.260.3174x890,2021-05-15,2300,707ef2b1665b666a647bbae1d89089da
24a2856a-2a7c-415a-9e53-9d279a6bbb90,Andrew,Kerr,mannbrittany@gmail.com,+1-614-229-3554,2023-03-03,4038,ad9c32f8134d8461fd10dddf37677e66
61d6cbcd-f94e-41c6-97c3-b062eaf9a9ea,Jessica,Carlson,nguyenlaura@russell.org,137-983-0457,2022-02-09,4965,d285569aece82f906c9ac64440c681a5
0e0d526f-859a-4bf8-b038-6ac3d3f388ab,Teresa,Ramos,katie11@yahoo.com,8958970152,2021-02-17,1713,62041223e8c1204e746805464c6fd310
c059d194-9a91-4bab-b8e3-648dc9b8e3a9,Darren,Harris,gbrown@gmail.com,761-289-8993x074,2022-01-07,59,6511bbdf88176c3ef44df0c4668c6614
61be01ea-7920-4588-8b9f-8afc7e9a46a3,Rachel,Yang,mray@owens.com,001-603-387-8852x858,2024-01-08,1607,94fa504a21758cee749fbe95b65119cc
3d5085e4-5c01-4c27-a9a1-fb1baaee00ab,Christina,Sanders,kimberly97@horton-williams.org,0737949994,2023-09-07,3245,0d49e6b4ec288b867dd027997b39a5fe
9a2ab644-e075-47f4-af90-5bfcf179785c,Joshua,Ford,joshua07@yahoo.com,001-262-654-3475,2022-10-10,909,344d23fb0e46f9bb28d015f8035745de
73da70ef-06a2-4aed-a1e0-58f29f2c25d0,Daniel,Myers,matthewpearson@hotmail.com,985.907.9965,2022-07-06,2273,f9058a2c77c771ecfcace35352eaf066
603957b3-98bb-49e8-8dee-e4f4a71c63c7,Melissa,Cole,qrivera@jones.com,073-071-7761x3500,2022-06-14,4663,1521ececd7b99638ee025eb51bbe4cac
4bd4e390-c332-4344-ba0c-3b398e2e0c19,William,Robinson,jamesbaldwin@morris.biz,001-995-285-0231,2023-08-12,4099,cbd5d0ede364dd786f388161fae12960
dca25ce0-7048-4a3b-bcc6-85f38da38363,Yvonne,Taylor,james73@yahoo.com,001-514-972-4903x223,2021-07-01,4047,aaab07f15c8b885a05199a8f51090dbb
bc247841-7e65-4f6f-acc8-caf50ea5c44b,Timothy,Jones,olivia93@hotmail.com,(555)702-0061x741,2021-03-09,1397,c3da2ec758384fd471aea1a7ae1f89fe
0ff9a0e9-0440-4854-b833-b679caa83e53,Robert,Parker,lauren61@gmail.com,893-912-7065,2020-06-26,4521,3a88a61d4ae7c14858fdcbcf32920221
d29b94c5-a080-4549-b0af-bc91694fb46a,Samuel,Sullivan,mistyescobar@banks.com,(446)853-0455x5595,2020-07-29,1588,b032f7a56676555789d7daa136d69b0e
f85da04d-9d04-4ac1-a507-90919dd260a5,David,Russell,fsmith@yahoo.com,001-894-332-7639x90460,2020-06-25,4635,9a8f01a854bb7d6fd63ce74f555800c1
ce1296af-f762-42b1-a305-be36519f646a,April,Benson,ucunningham@bird.biz,001-022-209-7550,2022-01-23,4940,7d6fa11390965bfb046cc1b79d86b077
f5a181a5-592d-4036-addf-503de13201c6,Dalton,Mejia,dschneider@hardin.com,+1-120-039-3449x07697,2024-02-28,4630,efabb8832f16b6312395ed1f9ae6f541
17158657-5fd0-42e6-8b7c-226a8ed87eb4,Frank,Wilson,arnoldjames@fischer.org,001-192-969-2105x3071,2021-01-13,1438,b6114e735c00e25a3e91f47d05c9072a
3e41beba-1958-4e2d-b335-70404bd8a6f2,Glenn,Butler,nicoledixon@ford.com,498-578-8728x20632,2021-01-12,536,2e6aacf4ae38cb0f32097da590d099d3
5a216f84-8371-4461-acd0-d82ad8e199cd,Heather,Stone,pollardgary@tran.biz,(895)247-6096x064,2022-03-25,4819,d628f77c0fd0a86ba3daa40f7f9c29e3
71a61da7-4cef-4292-83b5-f3285ee10b8c,Eric,Burton,michaelrobinson@hotmail.com,477.884.0709x465,2022-05-24,1051,dabe6e16aa1069de8ec79b6287ce17ca
6361447d-2e3d-4092-a7ab-9e87ea2fc40a,Taylor,Rowe,nmiller@porter.net,268-092-8261x6417,2020-06-21,533,178f12dc4452fe87c037d9677ca9404c
5234cb35-5f6c-4ff6-803b-5089a61160a6,Aaron,Gonzalez,brewershelly@gmail.com,668-803-1664x79512,2022-05-05,1044,d010b4d1d2ac907362118394780a1147
01fcd675-1b6d-44a9-a28c-d6ca0aeea9dd,Brandi,Lee,kathleenbarajas@hawkins.com,(416)019-9198x480,2022-07-31,2127,ab5b411d97306a16bdef3a1590e19bb9
a80cb72b-abf2-4a64-994d-36e2958e7fde,Scott,Galvan,gsmith@jennings.com,(077)107-4043,2021-04-25,4669,9a1710ca1f1b429530fb5841765369f3
8830ad9c-b331-4343-b069-34544f87dc96,Roger,Kelley,charper@hotmail.com,(461)051-1090,2020-07-29,1868,59a2880a193c738a48f9fbeb7dac914a
f822b266-bf39-4be4-af4a-98b342794d76,Erica,Williams,xpeters@barber.com,2549723920,2020-09-15,4286,bf4b5e9b98fae2f9911050784ae93c1d
430361dd-3b2e-463f-8f68-504d5d127c69,Alexander,Craig,rebecca97@yahoo.com,+1-753-965-9744x2526,2023-03-07,2248,70852f394428c301019e55554ba9437f
eb638fbb-18cf-4441-bfe3-7a243d1e739f,Erika,Gilbert,brianmiller@yahoo.com,537-405-1337,2024-05-06,1572,7eca6c148bd70e4dac69cac913dd4679
4aefb98b-6b91-4c49-9143-5fb32018c11c,Kimberly,Salazar,yclarke@figueroa-wise.org,681.608.5571x749,2023-02-26,190,013679ae5c1833a730329c0c08ce1c5f
454b9123-cbbc-417d-82fe-b15f53d7289e,Brandon,Cox,fblack@yahoo.com,990-803-5862x405,2022-04-01,4366,64c5b65138a8936a24b5eadca6db7018
1596603c-c0f5-4f56-8676-556dfe82b10a,Jonathan,Rivera,ianbrooks@gmail.com,279-111-1085x18466,2024-03-04,2072,fdcc20b39171cfdede18716037b8c6d6
5aa3bd23-8298-45f5-b6a3-0cf543e6346c,William,Spencer,lorijones@yahoo.com,001-618-307-3480,2024-02-03,4589,ed1b345b802975ae454e9fb754a53296
730bc521-bdc9-4588-9db9-9dd29975c433,Katherine,Dyer,wbaker@faulkner.com,548-298-7819x21474,2022-12-12,3719,8e0b2ddc50197c5a6148964647acc2b0
