StaffID,StoreID,FirstName,LastName,Position,HireDate,RowHash
1ca44f19-fecd-49b2-87ad-3ee0efb50d8e,a3027ea6-3a7b-4285-9b82-5ab90b244a50,Robert,Ramirez,Sales Associate,2023-10-17,3f1593fbcd9ef4a0518c92c0806c9632
844e8fb2-1bbc-4dcd-9407-40a0919bc547,066320f6-15d5-4240-b39a-1d9697acf693,Carl,Brooks,Stocker,2025-02-01,c9d09f2957b41f5463757117a9fa68e8
618f86db-a959-46f1-afe2-829ec16cb953,9745ebde-bd1a-41e4-90f7-9d2cd2bda746,Adam,Jensen,Stocker,2023-10-08,fde2321e10ce0f51ff8f75ec3f70531e
0319f5e7-b5d8-40a4-b6aa-6847ec9d5465,1424c333-ef79-42af-bcf5-5d41521a0e9b,Robert,Bryant,Stocker,2023-09-06,dbd18179701a49f1f8174cdfc23e362a
a34f7b0d-48c0-434c-a305-13e799dc14bf,bbcd1342-0d08-4318-ae1f-7e2ff8d83071,Monique,Coleman,Stocker,2023-12-20,a123f31b77ff4f27b1a1521eb0802d31
fc4d14dc-160f-4856-a4d5-0c680a2c7d36,b8877c9b-300e-4619-9c17-285548f42c1a,Susan,Porter,Manager,2023-11-17,6e359edeb32edcc2f4694100540534c7
86484f43-e9de-4afc-a62d-8dc3054ffe8e,35e27300-4661-4cc1-883a-60fcc46d1705,Brandon,Blair,Sales Associate,2022-07-24,886e226c8f6c23d22557ae37124a3dce
b2dd87e0-a228-4f23-be99-d514ba196e9d,bcffdf26-2889-4b0d-929a-8e779c6e851b,Kristen,Evans,Cashier,2024-01-19,2705376d673a7329d3a547f47749bd08
8fa456b8-3680-455c-953c-c02c5439768c,5338a24d-bd24-49b6-80c7-ceb5d88d8923,Richard,Smith,Stocker,2025-01-11,76ef56588c88ca732651dc8dc8562d0c
d6a66e0c-775a-4344-b9fd-f2cc8cd15fe7,adfe1367-c650-47bc-ab26-c65be37eb483,Peter,Hunter,Cashier,2023-02-21,93c25c01a150e282d4dfffc73a7283f1
2ea9cad9-401f-447f-94fe-1441fa4de329,876d3f78-e0fd-4ed9-94e2-95f1f49a6678,William,Johnson,Cashier,2023-08-14,9dd9e3094eea89ed8942003b2cc3725d
4a847610-4200-4e8f-8d5d-418d5636b34e,a3027ea6-3a7b-4285-9b82-5ab90b244a50,Curtis,Thomas,Sales Associate,2024-05-02,9d2399e0ff3eaadb2630992c53e9c7a5
bd11c986-bcc6-4343-b302-584ef7e175ba,2325976b-ebd3-4af4-ab95-cf6c75dd167e,Mark,Trevino,Manager,2025-01-14,3e95acb595ff93189dc3b9048b18b7be
095fad3b-101e-4d21-8d24-648f906b209a,b8877c9b-300e-4619-9c17-285548f42c1a,Danielle,Johnson,Sales Associate,2024-12-21,cc3bfa12f269775a8fa6f17082e480da
d8ba448c-cb2e-4f4f-8ef5-afd9c88924ac,754ca431-4c26-4237-a234-fb658c2226c4,Eric,Cook,Sales Associate,2022-10-29,28164b94b611047ed72172c3be481084
38c1a6fa-a642-41b4-8700-83eccb062bf5,82e03202-e75b-485c-a987-57c392f25f18,Jack,Rowe,Cashier,2023-04-25,c9191d47c61ba643928afab7287d4b95
0b01201f-8210-40da-9549-3e5fe10a972e,754ca431-4c26-4237-a234-fb658c2226c4,Ann,Thompson,Sales Associate,2025-03-20,0a96861143b0c8dacbd7461360384c33
cc15c34c-12e3-4016-997c-5f010003c0d9,128c966a-64f4-456d-9fd0-3d628c9d517a,Jennifer,Baker,Sales Associate,2023-12-26,5aeec7b95095cddee0ddf5816abacde6
5633907e-2fa1-46da-9399-75126ba0bf97,6396ee21-ad50-4b0b-97e3-d0b7ad2ab151,Tiffany,Koch,Manager,2022-12-06,c353ad04de1494463b82615fde97d34e
e78dfc26-2cb5-4308-9078-0c2d292e231b,3412d299-a203-47c4-bde2-ecd5ef09fe58,Rachael,Gray,Cashier,2023-09-27,302f15ecdd3d1710736577586434bb11
dbcd5914-cbe4-4c17-a7d6-67442d93f35d,576ca2ee-5c98-4032-8085-4a11312f9e78,Stephanie,Davis,Cashier,2023-08-11,4e0cd336e72cd3a6da8a7152c73fcfe4
78c77ebf-4d1e-41f2-8456-3dec979b7119,21a2cafc-d878-40bb-a232-e14e9eda02f3,William,Baker,Cashier,2024-05-13,9cf8f655fe7c8778e027519b05952d16
100ccbaa-e440-451d-b756-ca2b12ce2f08,01adb8ae-ae19-4b3d-805f-5485251f2e61,Crystal,Edwards,Stocker,2022-10-10,869336d46785e2d47c8f1657fbf8f54f
3be9d752-00f7-4c64-9c38-783f66757b49,50a26c10-fd86-4364-8549-75c2f73d6e74,David,Harper,Stocker,2023-10-04,0e52b2524ac00513a0418fa162ffa3bd
6091dffa-afaa-4b6b-8932-5e5cc213a887,0db94890-c654-49b6-b76e-e535bc387855,Joshua,Molina,Cashier,2024-09-28,f92d76732b567b8f8aadcf8961101b6d
5c57484a-433b-45fa-a711-91cf7d593c51,449e10e4-a998-443f-8f47-b8f5ce345a9a,Carmen,Cross,Manager,2024-09-06,45d18a28e1d082f1a8b1ac6b1940ed4b
684b8726-f490-4078-9037-eb13f7d777dd,3c32b582-67e5-49c3-affc-7e44572ba0ae,Lawrence,Merritt,Sales Associate,2023-04-29,53c68f8c84ea5d864efe8cd196dc3be4
